txn_id,date,category,amount,cat_mean,cat_std,zscore,flag_zscore,iqr_lower,iqr_upper,flag_iqr,flag_any,flag_both
a56,2025-10-04,entertainment,749.0,94.38987458745875,235.87284393375344,2.7752670230931424,False,-9.917500000000004,143.7025,True,True,False
a198,2025-04-19,other,1698.15,118.9148635235732,265.9113593143569,5.938953268293725,True,-24.800000000000004,183.36,True,True,True
a120,2025-08-19,travel,1502.31,726.4738322368421,1221.1300231853377,0.6353427997285469,False,-154.4500000000001,1171.0900000000001,True,True,False
a63,2025-05-08,other,1995.53,118.9148635235732,265.9113593143569,7.057295864739337,True,-24.800000000000004,183.36,True,True,True
a220,2025-02-10,food,1995.59,36.979938162544165,168.11786331631885,11.650219811277708,True,1.118749999999995,51.88875,True,True,True
a13,2025-10-07,entertainment,4998.54,94.38987458745875,235.87284393375344,20.791499536885674,True,-9.917500000000004,143.7025,True,True,True
a239,2025-03-02,utilities,754.45,171.57908333333333,313.758289057824,1.8577068303659914,False,8.457499999999982,252.4375,True,True,False
a34,2025-01-27,other,1345.4,118.9148635235732,265.9113593143569,4.612383388354961,True,-24.800000000000004,183.36,True,True,True
a52,2025-01-19,travel,2004.41,726.4738322368421,1221.1300231853377,1.0465193251326672,False,-154.4500000000001,1171.0900000000001,True,True,False
a191,2025-08-24,utilities,1495.5,171.57908333333333,313.758289057824,4.219556782522724,True,8.457499999999982,252.4375,True,True,True
a182,2025-07-19,retail,2304.18,124.89857504215851,219.24133142644965,9.94010303978171,True,-22.277500000000018,232.74250000000004,True,True,True
a76,2025-03-11,gas,838.26,84.77808823529412,299.82713509904016,2.5130544355693907,False,7.237500000000004,105.4575,True,True,False
a20,2025-07-17,other,1380.53,118.9148635235732,265.9113593143569,4.7444950818553115,True,-24.800000000000004,183.36,True,True,True
a154,2025-01-04,retail,1034.82,124.89857504215851,219.24133142644965,4.150318824637766,True,-22.277500000000018,232.74250000000004,True,True,True
a166,2025-02-16,utilities,1998.55,171.57908333333333,313.758289057824,5.822861037879912,True,8.457499999999982,252.4375,True,True,True
a199,2025-08-27,gas,447.9,84.77808823529412,299.82713509904016,1.2111042305919304,False,7.237500000000004,105.4575,True,True,False
a236,2025-06-18,gas,1498.7,84.77808823529412,299.82713509904016,4.715790354657704,True,7.237500000000004,105.4575,True,True,True
a197,2025-06-17,other,2000.32,118.9148635235732,265.9113593143569,7.075309386284076,True,-24.800000000000004,183.36,True,True,True
a32,2025-08-04,retail,2009.99,124.89857504215851,219.24133142644965,8.59824838999505,True,-22.277500000000018,232.74250000000004,True,True,True
a89,2025-03-26,food,471.88,36.979938162544165,168.11786331631885,2.586875976523555,False,1.118749999999995,51.88875,True,True,False
a163,2025-09-09,food,996.89,36.979938162544165,168.11786331631885,5.709744597641929,True,1.118749999999995,51.88875,True,True,True
a74,2025-03-01,travel,5930.34,726.4738322368421,1221.1300231853377,4.261516848294981,True,-154.4500000000001,1171.0900000000001,True,True,True
a109,2025-07-01,gas,395.73,84.77808823529412,299.82713509904016,1.0371039687985242,False,7.237500000000004,105.4575,True,True,False
a152,2025-02-11,gas,744.19,84.77808823529412,299.82713509904016,2.199306982494717,False,7.237500000000004,105.4575,True,True,False
t7713,2025-08-29,retail,252.65,124.89857504215851,219.24133142644965,0.582697724588026,False,-22.277500000000018,232.74250000000004,True,True,False
t10994,2025-08-13,gas,119.44,84.77808823529412,299.82713509904016,0.11560632013261977,False,7.237500000000004,105.4575,True,True,False
a69,2025-01-24,retail,4998.57,124.89857504215851,219.24133142644965,22.229710945688378,True,-22.277500000000018,232.74250000000004,True,True,True
a46,2025-07-11,gas,1497.87,84.77808823529412,299.82713509904016,4.7130220928733735,True,7.237500000000004,105.4575,True,True,True
a183,2025-10-09,travel,7566.39,726.4738322368421,1221.1300231853377,5.601300465875964,True,-154.4500000000001,1171.0900000000001,True,True,True
a148,2025-09-12,utilities,1503.91,171.57908333333333,313.758289057824,4.246360855254171,True,8.457499999999982,252.4375,True,True,True
a21,2025-03-21,travel,10132.48,726.4738322368421,1221.1300231853377,7.70270650067831,True,-154.4500000000001,1171.0900000000001,True,True,True
t7845,2025-09-24,gas,105.56,84.77808823529412,299.82713509904016,0.06931297848622378,False,7.237500000000004,105.4575,True,True,False
a204,2025-01-23,retail,1223.31,124.89857504215851,219.24133142644965,5.010056351196412,True,-22.277500000000018,232.74250000000004,True,True,True
